,Strain A(1),Strain A(1),Strain A(1),Strain A(2),Strain A(2),Strain A(2),Strain A(3),Strain A(3),Strain A(3),Blank,Blank,Blank,Strain B(1),Strain B(1),Strain B(1),Strain B(2),Strain B(2),Strain B(2),Strain B(3),Strain B(3),Strain B(3),,,,Strain C(1),Strain C(1),Strain C(1),Strain C(2),Strain C(2),Strain C(2),Strain C(3),Strain C(3),Strain C(3),,,,Strain D(1),Strain D(1),Strain D(1),Strain D (2),Strain D (2),Strain D (2),Strain D(3),Strain D(3),Strain D(3),,,,Strain E(1),Strain E(1),Strain E(1),Strain E(2),Strain E(2),Strain E(2),Strain E(3),Strain E(3),Strain E(3),,,,Strain F(1),Strain F(1),Strain F(1),Strain F(2),Strain F(2),Strain F(2),Strain F(3),Strain F(3),Strain F(3),,,,Strain G(1),Strain G(1),Strain G(1),Strain G(2),Strain G(2),Strain G(2),Strain G(3),Strain G(3),Strain G(3),,,,Strain H(1),Strain H(1),Strain H(1),Strain H(2),Strain H(2),Strain H(2),Strain H(3),Strain H(3),Strain H(3)
0 s,0.092,0.095,0.1,0.098,0.099,0.097,0.091,0.093,0.091,0.1,0.084,0.081,0.09,0.092,0.092,0.09,0.089,0.089,0.087,0.089,0.091,,,,0.089,0.09,0.089,0.089,0.09,0.09,0.091,0.095,0.093,,,,0.089,0.092,0.091,0.093,0.094,0.091,0.089,0.091,0.094,,,,0.09,0.091,0.09,0.09,0.089,0.089,0.088,0.091,0.093,,,,0.09,0.093,0.094,0.093,0.092,0.091,0.088,0.09,0.091,,,,0.088,0.09,0.088,0.088,0.089,0.088,0.087,0.09,0.091,,,,0.09,0.092,0.095,0.093,0.091,0.096,0.088,0.089,0.09
1800 s,0.102,0.107,0.111,0.114,0.115,0.114,0.107,0.112,0.108,0.103,0.086,0.082,0.101,0.103,0.103,0.103,0.102,0.101,0.095,0.099,0.099,,,,0.097,0.099,0.099,0.101,0.101,0.101,0.1,0.104,0.104,,,,0.098,0.101,0.1,0.103,0.106,0.104,0.1,0.102,0.102,,,,0.1,0.101,0.102,0.099,0.1,0.1,0.098,0.102,0.103,,,,0.099,0.101,0.103,0.102,0.103,0.102,0.098,0.102,0.101,,,,0.097,0.099,0.099,0.099,0.099,0.099,0.098,0.102,0.103,,,,0.098,0.1,0.103,0.1,0.1,0.102,0.097,0.101,0.101
3600 s,0.137,0.145,0.151,0.155,0.158,0.155,0.146,0.153,0.149,0.103,0.087,0.083,0.125,0.129,0.129,0.127,0.126,0.125,0.114,0.12,0.12,,,,0.119,0.121,0.121,0.125,0.127,0.127,0.122,0.127,0.128,,,,0.118,0.121,0.12,0.126,0.129,0.128,0.12,0.123,0.124,,,,0.123,0.126,0.126,0.119,0.121,0.121,0.117,0.123,0.124,,,,0.119,0.122,0.124,0.121,0.122,0.121,0.118,0.122,0.122,,,,0.118,0.12,0.12,0.118,0.119,0.119,0.12,0.126,0.127,,,,0.118,0.121,0.124,0.12,0.12,0.121,0.117,0.123,0.123
5400 s,0.206,0.217,0.21,0.237,0.237,0.232,0.222,0.24,0.236,0.098,0.085,0.082,0.18,0.181,0.185,0.18,0.181,0.178,0.159,0.165,0.166,,,,0.165,0.165,0.165,0.171,0.175,0.174,0.165,0.17,0.171,,,,0.165,0.164,0.16,0.167,0.169,0.169,0.161,0.165,0.168,,,,0.177,0.176,0.174,0.162,0.165,0.165,0.159,0.166,0.167,,,,0.162,0.162,0.162,0.155,0.157,0.158,0.157,0.162,0.168,,,,0.165,0.169,0.17,0.161,0.162,0.161,0.161,0.166,0.169,,,,0.159,0.16,0.161,0.158,0.158,0.163,0.156,0.167,0.171
7200 s,0.269,0.282,0.277,0.296,0.289,0.29,0.301,0.302,0.334,0.101,0.086,0.083,0.251,0.231,0.235,0.231,0.235,0.231,0.217,0.218,0.226,,,,0.23,0.219,0.22,0.225,0.229,0.229,0.219,0.229,0.228,,,,0.23,0.219,0.216,0.222,0.222,0.222,0.215,0.22,0.223,,,,0.237,0.229,0.226,0.22,0.221,0.221,0.216,0.223,0.223,,,,0.221,0.219,0.216,0.21,0.212,0.214,0.212,0.221,0.219,,,,0.227,0.225,0.22,0.219,0.218,0.218,0.214,0.219,0.231,,,,0.225,0.226,0.227,0.217,0.215,0.224,0.224,0.229,0.237
9000 s,0.32,0.367,0.343,0.329,0.346,0.372,0.328,0.357,0.336,0.107,0.088,0.084,0.311,0.292,0.285,0.284,0.27,0.275,0.274,0.272,0.277,,,,0.29,0.274,0.266,0.271,0.271,0.273,0.273,0.288,0.288,,,,0.293,0.276,0.272,0.284,0.284,0.28,0.273,0.277,0.281,,,,0.303,0.282,0.285,0.27,0.271,0.267,0.279,0.28,0.281,,,,0.284,0.275,0.27,0.256,0.267,0.265,0.259,0.273,0.271,,,,0.284,0.292,0.262,0.263,0.265,0.267,0.277,0.275,0.286,,,,0.281,0.285,0.29,0.272,0.28,0.275,0.264,0.284,0.288
10800 s,0.342,0.366,0.354,0.356,0.365,0.375,0.346,0.366,0.37,0.1,0.086,0.083,0.339,0.342,0.333,0.334,0.336,0.328,0.317,0.327,0.321,,,,0.333,0.33,0.326,0.33,0.331,0.329,0.324,0.338,0.322,,,,0.326,0.332,0.327,0.337,0.34,0.332,0.316,0.324,0.318,,,,0.351,0.327,0.333,0.321,0.329,0.323,0.327,0.325,0.317,,,,0.334,0.331,0.321,0.312,0.325,0.328,0.319,0.329,0.32,,,,0.335,0.332,0.316,0.315,0.321,0.317,0.319,0.317,0.32,,,,0.32,0.326,0.329,0.323,0.331,0.33,0.297,0.33,0.344
12600 s,0.362,0.374,0.365,0.375,0.372,0.379,0.358,0.376,0.396,0.101,0.087,0.083,0.363,0.357,0.357,0.351,0.349,0.345,0.337,0.337,0.343,,,,0.352,0.336,0.336,0.346,0.348,0.344,0.338,0.357,0.342,,,,0.353,0.342,0.337,0.349,0.348,0.339,0.33,0.336,0.334,,,,0.367,0.341,0.346,0.335,0.337,0.335,0.333,0.342,0.333,,,,0.355,0.334,0.33,0.326,0.328,0.33,0.33,0.341,0.342,,,,0.348,0.38,0.351,0.334,0.335,0.336,0.332,0.337,0.341,,,,0.35,0.353,0.357,0.343,0.356,0.35,0.317,0.355,0.362
14400 s,0.383,0.384,0.376,0.384,0.381,0.383,0.373,0.402,0.423,0.101,0.087,0.083,0.374,0.385,0.374,0.378,0.378,0.377,0.367,0.369,0.361,,,,0.374,0.361,0.365,0.37,0.38,0.375,0.359,0.374,0.37,,,,0.39,0.369,0.371,0.376,0.382,0.373,0.352,0.364,0.359,,,,0.391,0.372,0.379,0.36,0.373,0.369,0.355,0.371,0.357,,,,0.373,0.361,0.354,0.357,0.355,0.366,0.364,0.359,0.36,,,,0.362,0.391,0.378,0.356,0.358,0.362,0.35,0.362,0.356,,,,0.372,0.375,0.383,0.364,0.383,0.374,0.356,0.374,0.389
16200 s,0.395,0.401,0.398,0.414,0.414,0.408,0.402,0.46,0.455,0.112,0.091,0.086,0.418,0.402,0.396,0.404,0.404,0.398,0.377,0.386,0.388,,,,0.399,0.384,0.387,0.404,0.406,0.406,0.387,0.396,0.398,,,,0.396,0.395,0.406,0.417,0.417,0.423,0.398,0.402,0.396,,,,0.412,0.398,0.409,0.399,0.405,0.408,0.394,0.398,0.395,,,,0.402,0.392,0.399,0.402,0.404,0.404,0.402,0.394,0.392,,,,0.38,0.399,0.387,0.384,0.385,0.395,0.377,0.397,0.385,,,,0.404,0.41,0.407,0.393,0.395,0.398,0.392,0.399,0.426
